"","Platform","Global_Sales"
"1","PS2",1230.69
"2","X360",968.7
"3","PS3",948.01
"4","Wii",909.03
"5","DS",817.73
"6","PS",726.42
"7","GBA",304.29
"8","PSP",289.8
"9","PS4",278.02
"10","GB",254.42
"11","PC",253.3
"12","XB",252.09
"13","NES",251.07
"14","3DS",245.81
"15","N64",218.21
"16","SNES",200.05
"17","GC",197.04
"18","XOne",141.03
"19","2600",86.28
"20","WiiU",81.86
"21","PSV",61.5
"22","SAT",33.59
"23","GEN",28.36
"24","DC",15.97
"25","SCD",1.87
"26","NG",1.44
"27","WS",1.42
"28","TG16",0.16
"29","3DO",0.1
"30","GG",0.04
"31","PCFX",0.03
